,sent_src,score_src,sum_src,sent_tgt,score_tgt,sum_tgt,score_diff,sum_diff,diff_pos
76,"Sixteen days later, as superheated air from the shuttle's reentry rushed into the damaged wing, ""there was no possibility for crew survival,"" the board said.",[1 1 0 1 0],3,"Sixteen days later, as superheated air from the shuttle’s re-entry rushed into the damaged wing, ‘‘there was no possibility for crew survival,’’ the board said.",[1 1 0 0 0],2,1,1,3
78,"If so, Powell said, he's calling the president ludicrous, too.",[1 0 0 0 0],1,"Powell fired back: ""He's accusing the president of a ludicrous act,"" he said.",[0 0 0 0 0],0,1,-1,0
92,"Tyco has said the loan was not forgiven, but that Swartz fully repaid it with interest, according to his lawyer, Charles Stillman.",[1 0 0 0 0],1,"Tyco later said the loan had not been forgiven, and Swartz repaid it in full, with interest, according to his lawyer, Charles Stillman.",[0 0 0 0 0],0,1,-1,0
94,"Ms. Haque, meanwhile, was on her turquoise cellphone with the smiley faces organizing the prom.",[1 1 0 0 0],2,"Fatima, meanwhile, was on her turquoise cell phone organizing the prom.",[0 1 0 0 0],1,1,1,0
100,"Commenting on the firing today, Ms. Novikova said that there was no standard weight for ballerinas but that Ms. Volochkova ""is bigger than others.""",[0 0 0 1 0],1,"Miss Novikova said while there is no standard weight for ballerinas, Miss Volochkova is 'bigger than others'.",[0 0 0 0 0],0,1,-1,3
102,"Under the program, US officials work with foreign port authorities to seek out high-risk cargo before it can reach the United States.",[1 0 0 0 0],1,"Under the program, U.S. officials work with foreign port authorities to identify, target and search high-risk cargo.",[0 0 0 0 0],0,1,-1,0
108,"""What she told our investigators was that all the babies were born full-term and then died within hours,"" Hughes said.",[0 0 0 1 0],1,"She claimed all the babies were born full-term and died within hours, he said.",[0 0 0 0 0],0,1,-1,3
109,French Foreign Minister Dominique de Villepin was scheduled to arrive Sharm el-Sheikh on Wednesday.,[1 1 0 0 0],2,"The French Foreign Minister, Dominique de Villepin, is also expected to attend.",[0 1 0 0 0],1,1,1,0
116,"""The bolt catcher is not as robust as it is supposed to be,"" the board's chairman, retired Adm. Hal Gehman, said.",[1 0 0 1 0],2,"""The bolt catcher is not as robust"" as it should be, said retired Navy Admiral Harold W. Gehman Jr., the board chairman.",[0 0 0 1 0],1,1,1,0
117,"Morgan Stanley raised its rating on the beverage maker to ""overweight"" from ""equal-weight"" saying in part that pricing power with its bottlers should improve in 2004.",[1 1 0 0 0],2,"Morgan Stanley raised its rating on the company to ""overweight"" from ""equal-weight,"" saying the beverage maker's pricing power with bottlers should improve in 2004.",[1 0 0 0 0],1,1,1,1
128,A federal grand jury and the Securities and Exchange Commission were looking into how the company allocated shares of initial public stock offerings.,[0 0 1 0 0],1,At the time federal investigators were looking into how CFSB allocated shares of initial public stock offerings.,[0 0 0 0 0],0,1,-1,2
136,Handspring's shareholders will receive 0.09 Palm shares (and no shares of PalmSource) for each share of Handspring common stock they own.,[1 0 0 0 0],1,"Handspring shareholders will get 0.09 shares of the parent company, Palm, Inc., for each share of Handspring common stock they currently own.",[0 0 0 0 0],0,1,-1,0
139,"Tibco has used the Rendezvous name since 1994 for several of its technology products, according to the Palo Alto, California company.",[1 0 0 0 0],1,"Tibco has used the Rendezvous name since 1994 for several of its technology products, it said.",[0 0 0 0 0],0,1,1,0
144,He is charged in three bombings in Atlanta including a blast at the 1996 Olympics and one in Alabama.,[1 1 0 0 0],2,He is charged in three bombings in Atlanta _ including a blast at the 1996 Olympics _ along with the bombing in Alabama.,[0 1 0 0 0],1,1,-1,0
150,Their findings were published Monday in Circulation: The Journal of the American Heart Association.,[1 1 1 0 0],3,"The statistical analysis was published Tuesday in Circulation, a journal of the American Heart Association (news - web sites).",[1 1 0 0 0],2,1,-1,2
154,The lawsuit was filed on Friday at the US District Court for the District of Columbia.,[1 1 0 0 0],2,"The agent, Bassem Youssef, filed the lawsuit on Friday in Federal District Court for the District of Columbia.",[1 0 0 0 0],1,1,-1,1
157,"We remain hopeful that the city will agree to work with us and engage in good-faith discussions on this issue.""",[0 1 0 0 0],1,"Alhart said the governor ""remains hopeful that the city will continue to work with us and engage in good-faith discussions.""",[0 0 0 0 0],0,1,1,1
159,"""By its actions, the Bush administration threatens to give a bad name to a just war,"" the Connecticut Democrat told a Capitol Hill news conference.",[0 0 0 1 0],1,"""By its actions, the Bush administration threatens to give a bad name to a just war,"" Lieberman said.",[0 0 0 0 0],0,1,-1,3
162,The acquisition has been approved by both companies' board of directors and is expected to close in the third quarter this year.,[1 1 0 0 0],2,"Nvidia's acquisition has been approved by directors at both companies, and is expected to close in the Nvidia's third quarter of fiscal 2004.",[1 0 0 0 0],1,1,1,1
171,"At Northwest Medical Center of Washington County in Springdale, one child is in serious condition.",[1 1 0 1 0],3,Another was in serious condition at Northwest Medical Center in Springdale.,[1 1 0 0 0],2,1,-1,3
173,Four of those killed by Williams were black; the other was white.,[1 1 0 0 0],2,"Williams was White, and four of his victims were Black; the fifth was White.",[0 1 0 0 0],1,1,-1,0
180,The bulk of the bill - $64.7 billion - goes for military operations primarily in Iraq and Afghanistan.,[1 1 1 0 0],3,"The bulk of the funds, some $65 billion, will go for military operations in Iraq and Afghanistan.",[1 1 0 0 0],2,1,-1,2
186,"Typhoon Maemi was on Saturday night moving over the Sea of Japan, where it had weakened considerably, the meteorology department said.",[1 1 0 1 0],3,"Typhoon Maemi later moved out over the Sea of Japan, where it weakened considerably, the meteorology department said.",[1 1 0 0 0],2,1,-1,3
191,"""The SIA forecast reflects the new realities of the semiconductor industry of an 8-10 percent"" growth rate, George Scalise, the trade association's president, said in a statement.",[0 0 0 0 1],1,"""The SIA forecast reflects the new realities of the semiconductor industry of an 8-10 per cent'' growth rate"", said George Scalise, the association's president.",[0 0 0 0 0],0,1,1,4
198,"The company has expanded into providing other services for buyers, including payment services.",[0 1 0 0 0],1,"The company has expanded those basic services, offering payment and even financing.",[0 0 0 0 0],0,1,1,1
204,"The state, which previously conducted two triple executions and two double executions, says the policy is designed to reduce stress on its prison staff.",[0 0 0 0 1],1,"The state previously conducted two triple executions and two double executions, a practice it says is intended to reduce stress on the prison staff.",[0 0 0 0 0],0,1,1,4
206,At least 26 American troops have been killed in hostile fire since major combat was officially declared over on May 1.,[1 1 0 0 0],2,At least 23 U.S. troops have been killed by hostile fire since Bush declared major combat in Iraq to be over on May 1.,[1 0 0 0 0],1,1,-1,1
208,"Even later in life, he was still cashing in: lately, he earned money by calling fans on the telephone with the service www.HollywoodIsCalling.com.",[0 0 0 1 0],1,"Lately, he had earned money by calling fans on the telephone, taking part in the service www.HollywoodIsCalling.com.",[0 0 0 0 0],0,1,1,3
210,"In Vienna, the International Atomic Energy Agency said on Monday ElBaradei had accepted Iran's invitation, but said no date had yet been set.",[1 0 0 0 0],1,"In Vienna, the IAEA said ElBaradei would accept the invitation, although no date had yet been set.",[0 0 0 0 0],0,1,-1,0
214,"""The time has come to make public places smoke-free,"" they wrote in a letter to the Times newspaper.",[0 0 0 1 0],1,They said: “We believe that the time has come for legislation to make public places smoke-free.,[0 0 0 0 0],0,1,-1,3
216,"The new effort, Taxpayers Against the Recall, will be formally launched Wednesday outside a Sacramento fire station.",[1 1 0 0 1],3,"Called ""Taxpayers Against the Recall,"" it was to be launched Wednesday afternoon outside a Sacramento fire station.",[1 1 0 0 0],2,1,1,4
217,Chest tightness after exercise and overall prevalence of asthma were also linked to the total amount of time spent at indoor pools.,[1 1 1 0 0],3,"Furthermore, chest tightness after exercise and prevalence of asthma were both linked to the amount of time spent at the pool.",[1 1 0 0 0],2,1,-1,2
225,"Sean Harrigan of Calpers, the California fund, said: ""Today we are trying to pull the pig from the trough.",[0 0 0 1 0],1,"""Today we are trying to pull the pig away from the trough,"" Mr. Harrigan said.",[0 0 0 0 0],0,1,1,3
232,"Clearly Roman creams of any type, paint or cosmetic, do not normally survive ...it's pretty exceptional.""",[0 0 0 0 1],1,Clearly Roman creams of any type do not normally survive in the archaeological record.,[0 0 0 0 0],0,1,-1,4
238,"From California, Bush flies to Japan on Thursday, followed by visits to the Philippines, Thailand, Singapore, Indonesia and Australia before returning home on Oct. 24.",[0 1 0 0 0],1,"Besides Japan he will visit the Philippines, Thailand, Singapore, Indonesia and Australia before returning home on Oct. 24.",[0 0 0 0 0],0,1,1,1
246,"They are located in Grande Cache, Alta., Carrot River, Sask., Chapleau, Ont., and Aberdeen, Wash.",[1 1 0 0 0],2,"Mills affected by Thursdays announcement are sawmills in Grande Cache, Alta., Carrot River, Sask., Chapleau, Ont., and Aberdeen, Wash.",[0 1 0 0 0],1,1,-1,0
250,Gov. Linda Lingle and other dignitaries are scheduled to be at the base to watch the launch.,[0 1 0 0 0],1,Gov. Linda Lingle and members of her staff were at the Navy base and watched the launch.,[0 0 0 0 0],0,1,-1,1
254,Commercial releases of the 2.6 kernel by major Linux distributors still remain months away.,[1 1 1 0 0],3,"However, commercial use of the 2.6.0 kernel is still months off for most customers.",[1 1 0 0 0],2,1,-1,2
258,"Also Tuesday, a soldier drowned in an aqueduct in northern Iraq.",[1 1 0 0 0],2,"Another soldier drowned after diving into an aqueduct in northern Iraq, the Central Command said.",[0 1 0 0 0],1,1,1,0
265,Telecommunications gear maker Lucent Technologies is being investigated by two federal agencies for possible violations of U.S. bribery laws in its operations in Saudi Arabia.,[1 0 0 0 0],1,Two federal agencies are investigating telecommunications gear maker Lucent Technologies for possible violations of U.S. bribery laws in its operations in Saudi Arabia.,[0 0 0 0 0],0,1,1,0
267,"A DoD team is on site to determine how this happened and what needs to be done to fix the breach, the release stated.",[0 0 0 1 0],1,A DOD team is working to determine how hackers gained access to the system and what needs to be done to fix the breach.,[0 0 0 0 0],0,1,-1,3
269,Companies trading on the biggest stock markets must get shareholder approval before granting stock options and other equity compensation under rules cleared yesterday by the Securities and Exchange Commission.,[0 1 0 0 0],1,The Securities and Exchange Commission yesterday said companies trading on the biggest U.S. markets must win shareholder approval before granting stock options and other stock-based compensation plans to corporate executives.,[0 0 0 0 0],0,1,-1,1
272,"Microsoft is preparing to alter its Internet Explorer browser, following a patent verdict that went against the company, Microsoft said Friday.",[1 0 0 0 0],1,"Microsoft Corp. is preparing changes to its Internet Explorer (IE) browser because of a patent verdict against it, the company said Friday.",[0 0 0 0 0],0,1,1,0
283,Moore had no immediate comment Tuesday.,[0 1 0 0 0],1,Moore did not have an immediate response Tuesday.,[0 0 0 0 0],0,1,1,1
292,Altria shares fell 2.2 percent or 96 cents to $42.72 and were the Dow's biggest percentage loser.,[1 1 0 0 0],2,"Its shares fell $9.61 to $50.26, ranking as the NYSE's most-active issue and its biggest percentage loser.",[0 1 0 0 0],1,1,1,0
300,"Rumsfeld, who has been feuding for two years with Army leadership, passed over nine active-duty four-star generals.",[0 0 0 0 1],1,"Rumsfeld has been feuding for a long time with Army leadership, and he passed over nine active-duty four-star generals.",[0 0 0 0 0],0,1,1,4
301,"However, it is not possible to say whether it may pose a cancer risk to humans.",[0 1 0 0 0],1,He said it was not possible to rule out that the chemical was a cancer risk to humans.,[0 0 0 0 0],0,1,-1,1
302,"According to the writer of the letter, the infant was ""placed on the bed in a baby blanket"" by a nurse.",[1 0 0 0 0],1,The letter stated that a premature stillborn baby was placed on the bed in a blanket.,[0 0 0 0 0],0,1,-1,0
312,"""I think 70 percent of the work is already done,"" Tauzin told reporters in the Capitol.",[0 0 0 1 0],1,"""About 70 percent of the work is already done,"" Mr. Tauzin said.",[0 0 0 0 0],0,1,1,3
318,"Mr. McCall, who ran unsuccessfully for governor of New York in 2002, styled himself an advocate of better corporate governance.",[0 0 0 0 1],1,"A former candidate for governor of New York, he styled himself an advocate of better corporate governance.",[0 0 0 0 0],0,1,-1,4
323,"The priest, the Rev. John F. Johnston, 64, of 35th Avenue in Jackson Heights, was charged with aggravated harassment and criminal possession of a weapon.",[1 1 0 0 1],3,"The Rev. John Johnston, 64, was charged with aggravated harassment in the phone call case and with criminal possession of a weapon, according to a police statement.",[1 1 0 0 0],2,1,1,4
326,"""I think it happened very quickly,"" said Investigator Phil Yochum of the Houston Police Department's homicide division.",[0 0 1 0 0],1,"""I think it happened very quickly,"" Houston Police Department homicide investigator Phil Yochum said of the crime.",[0 0 0 0 0],0,1,-1,2
328,The poll conducted between Oct. 24 and Nov. 2 had a margin of error of 2 percentage points.,[1 1 1 0 0],3,The telephone survey had a margin of error of 2 percentage points.,[1 1 0 0 0],2,1,-1,2
333,"A statement from the allied command said that the raid was part of ""the continued effort to eradicate Baath Party loyalists, paramilitary groups and other subversive elements.""",[0 1 0 0 0],1,"It said the operation, which began on Monday, was part of ""the continued effort to eradicate Baath Party loyalists, paramilitary groups and other subversive elements.""",[0 0 0 0 0],0,1,-1,1
335,"Some 660 prisoners from 42 countries, including Canada, are held, many captured during the war against in Afghanistan the al-Qaida network.",[1 1 0 1 0],3,"Some 660 prisoners from 42 countries are being held at the Naval base at Guantanamo Bay, many captured during the war against Al Qaeda in Afghanistan.",[1 1 0 0 0],2,1,1,3
337,"""Oracle's offer undervalues the company and is not in the best interest of PeopleSoft stockholders,"" said PeopleSoft President and CEO Craig Conway, in the statement.",[0 1 0 1 0],2,"Oracle's offer ""undervalues the company and is not in the best interest of stockholders,"" PeopleSoft CEO Craig Conway said.",[0 0 0 1 0],1,1,-1,1
347,Chechen officials working for the Moscow-backed government are a frequent target for rebels and tension is running high ahead of next Sunday's presidential election in war-torn Chechnya.,[1 1 1 0 0],3,"Officials in Chechnya's Moscow-backed government are a frequent target for rebels, and tension is running high ahead of Sunday's presidential election in the war-ravaged region.",[1 1 0 0 0],2,1,1,2
359,"Deposit and loan growth, strong investment banking and trading results and strong growth in mortgage and card revenues drove this quarter's results.",[0 0 0 0 1],1,"Lewis said that the third-quarter results were driven by deposit and loan growth, strong investment banking and trading results, and improved mortgage and card revenues.",[0 0 0 0 0],0,1,-1,4
364,The number of extremely obese American adults - those who are at least 100 pounds overweight - has quadrupled since the 1980s to about 4 million.,[1 1 1 0 0],3,"The number of Americans considered extremely obese, or at least 100 pounds overweight, has quadrupled since the 1980s to a startling 4 million, the research shows.",[1 1 0 0 0],2,1,1,2
372,"The second company, to be called Prisma Energy International Inc., includes 19 international power and pipeline holdings.",[1 1 0 0 1],3,"The second company, temporarily dubbed ``InternationalCo.'', includes 19 international power and pipeline holdings.",[1 1 0 0 0],2,1,-1,4
373,He was convicted in his absence in January and sentenced to 124 years.,[1 1 0 0 0],2,He was convicted by a Ventura County Superior Court jury and sentenced in absentia to 124 years in prison.,[1 0 0 0 0],1,1,-1,1
398,"Using bookmarks and back and forth buttons - we had about eighteen different things we had in mind for the browser,"" he told an industry audience in London yesterday.",[0 0 0 1 0],1,"Using bookmarks and back and forth buttons -- we had about eighteen different things we had in mind for the browser.""",[0 0 0 0 0],0,1,1,3
399,"There are three warships with 2,300 Marines lingering off its coast.",[1 1 0 0 0],2,"Three American warships are off the Liberian coast carrying a total of 2,300 marines.",[0 1 0 0 0],1,1,-1,0
401,"""Removing the waiver means nothing when Oracle still has pending litigation in Delaware that opposes the PeopleSoft/J.D. Edwards transaction,"" PeopleSoft responded.",[1 1 0 1 0],3,"In a public statement, a spokesperson said: ""Removing the waiver means nothing when Oracle still has pending litigation in Delaware that opposes the PeopleSoft/J.D. Edwards transaction.""",[1 1 0 0 0],2,1,1,3
415,Undersecretary-General for Peacekeeping Jean-Marie Guehenno urged member states contributing police and soldiers to U.N. peacekeeping operations to provide more women.,[0 0 1 0 0],1,He urged member states that contribute police and soldiers to U.N. peacekeeping operations to provide more women.,[0 0 0 0 0],0,1,-1,2
416,"Many of the changes are improvements to the original plan, Libeskind said.",[0 0 0 1 0],1,"Other changes in the plan refine his original vision, Libeskind said.",[0 0 0 0 0],0,1,-1,3
422,"Fires in Spain's Extramadura region bordering Portugal, and Avila province forced hundreds of people to leave their homes.",[0 0 1 0 0],1,"Fires in Spain's Extremadura region, which borders Portugal, have forced hundreds of people to evacuate their homes.",[0 0 0 0 0],0,1,-1,2
431,"The Russell 2000 index, the barometer of smaller company stocks, rose 3.28, or 0.7 percent, to 494.20.",[1 1 0 0 1],3,"The Russell 2000 index, which tracks smaller company stocks, was up 1.02, or 0.21 percent, at 496.83.",[0 1 0 0 1],2,1,-1,0
433,Dixon put his style on display Sunday afternoon in winning the Honda Indy 225 at Pikes Peak International Raceway.,[0 1 0 0 0],1,Scott Dixon eventually made winning the Honda Indy 225 look easy Sunday at Pikes Peak International Raceway.,[0 0 0 0 0],0,1,1,1
436,"About 1,000 people came in stifling heat to begin two days of observances tied to the coming 40th anniversary of the March on Washington on Aug. 28, 1963.",[0 1 0 0 0],1,"About 1,000 people attended the ceremony, kicking off two days of observances tied to the March on Washington.",[0 0 0 0 0],0,1,-1,1
440,"Spain, Poland, United Arab Emirates and Lithuania have advised their citizens not to travel to Taiwan for any reason.",[0 0 0 0 1],1,"Six countries have advised their citizens not to travel to Taiwan for any reason, the ministry said.",[0 0 0 0 0],0,1,-1,4
445,Sweeney is to formally announce the campaign in a speech Wednesday in Detroit.,[0 1 0 0 0],1,Sweeney said he would formally announce the formation of the new union on Wednesday in Detroit.,[0 0 0 0 0],0,1,-1,1
448,"""I picked prostitutes as my victims because I hate most prostitutes and I did not want to pay them for sex.""",[0 1 0 0 0],1,"It went on: ""I picked prostitutes as my victims because I hated most prostitutes and I did not want to pay them for sex.",[0 0 0 0 0],0,1,1,1
451,"So far, only four companies have licensed Microsoft's communications protocols: EMC, Network Appliance, VeriSign and Starbak Communications, the report noted.",[0 0 0 1 0],1,"So far, however, only four companies have licensed the protocols, according to the report to the judge yesterday.",[0 0 0 0 0],0,1,-1,3
470,She was arraigned on three counts of second-degree murder and ordered held without bail in Sullivan County Jail.,[1 1 0 0 0],2,She was arraigned in New York state on three counts of murder and ordered held without bail.,[0 1 0 0 0],1,1,-1,0
475,"With an estimated net worth of $1.7 billion, Mrs. Kroc ranked No. 121 on Forbes magazine's latest list of the nation's wealthiest people.",[1 1 0 1 0],3,"Kroc ranked No. 121 on Forbes magazine's latest list of the nation's wealthiest people, with an estimated net worth of $1.7 billion.",[1 1 0 0 0],2,1,1,3
477,"The woman was exposed to the SARS virus while in the hospital but was not a health-care worker, said Dr Colin D'Cunha, Ontario's commissioner of public health.",[1 1 0 0 0],2,"The woman was exposed to the SARS virus while in the hospital but was not a health care worker, said Dr. Colin D’Cunha, Ontario’s commissioner of public health.",[0 1 0 0 0],1,1,-1,0
478,"""People who are high in positive emotions sleep better, they have better diets, they exercise more, they have lower levels of these stress hormones,"" Cohen said.",[0 0 0 1 0],1,"""Happy people sleep better, have better diets, exercise more and have less levels of stress hormones,"" Cohen said.",[0 0 0 0 0],0,1,1,3
480,"""These are not solely American principles nor are they exclusively Western,"" Rumsfeld said.",[0 0 0 1 0],1,"He added that those ""are not solely American principles, nor are they exclusively Western.""",[0 0 0 0 0],0,1,-1,3
482,"""As long as we don't march on Tehran, I think we are going to be in pretty good shape,"" he said.",[0 0 0 1 0],1,"""If we don't march into Tehran, I think we will be in pretty good shape,"" he said.",[0 0 0 0 0],0,1,-1,3
489,"The FCC said existing televisions, VCRs, DVD players and related equipment would remain fully functional under the new broadcast flag system.",[0 1 0 0 0],1,"It also required that existing televisions, VCRs, DVD players and related equipment will remain fully functional under the new broadcast flag system.",[0 0 0 0 0],0,1,1,1
491,"For the third time in the past four years, wildfires are the problem.",[1 1 0 1 0],3,It was the third time in four years that wildfires forced the park to close.,[1 1 0 0 0],2,1,1,3
498,"The Leader of the Opposition, Simon Crean, said from Jakarta that the reshuffle had been forced by ministerial incompetence.",[1 0 0 1 0],2,"The Opposition Leader, Simon Crean, said John Howard had been forced to make changes by the incompetence of his ministers.",[1 0 0 0 0],1,1,-1,3
504,"The cleanup, including new carpeting, electrical wiring and bathrooms, cost about $130 million.",[1 1 0 0 1],3,"The $130 million cleanup included new carpet, electrical wiring and bathrooms.",[1 1 0 0 0],2,1,1,4
510,"DUBAI, SEPTEMBER 23:  The world economic leaders hailed on Tuesday signs of a global revival but agreed it had to be handled with care to prevent any setback.",[1 1 1 0 0],3,World economic leaders hailed signs of a global revival on Tuesday but agreed it had to be handled with care to prevent any setback.,[1 1 0 0 0],2,1,-1,2
527,"The judge ordered the unsealing yesterday at the request of several news agencies, including The Seattle Times, The Associated Press and the Seattle Post-Intelligencer.",[1 1 0 0 0],2,"The depositions were made public yesterday at the request of the P-I, The Seattle Times and The Associated Press.",[0 1 0 0 0],1,1,1,0
536,"""This is the time we priests need to be renewing our pledge to celibacy, not questioning it,"" he wrote.",[0 0 0 1 0],1,"He says that ""this is a time when we priests need to be renewing our pledge to celibacy, not questioning it.",[0 0 0 0 0],0,1,-1,3
550,The Democratic Republic of Congo's war began in 1998 when Uganda and Rwanda invaded together to back rebels trying to topple Kinshasa.,[1 1 0 0 0],2,Congo's war began in 1998 when Uganda and Rwanda invaded to back rebels fighting to topple the central government.,[0 1 0 0 0],1,1,-1,0
551,"Jane Doe, deciding to fight the subpoena, asked Verizon to withhold her name.",[0 0 0 0 1],1,She said Jane Doe's lawyers asked Verizon to withhold her name because she was planning on challenging the subpoena.,[0 0 0 0 0],0,1,-1,4
554,"University of Michigan President Mary Sue Coleman said in a statement on the university's Web site, ""Our fundamental values haven't changed.",[0 1 0 1 0],2,"""Our fundamental values haven't changed,"" Mary Sue Coleman, president of the university, said in a statement in Ann Arbor.",[0 1 0 0 0],1,1,1,3
557,"A base configuration with a 2.0GHz Intel Celeron processor, 128M bytes of memory, a 40G-byte hard drive, and a CD-ROM drive costs US$729.",[1 1 1 0 1],4,"A base configuration with a 2.4GHz Pentium 4, 128MB of RAM, a 40GB hard drive, and a CD-ROM drive costs $699.",[1 1 1 0 0],3,1,1,4
561,"""The releases are the latest in a series of efforts by the government to move Myanmar closer to multiparty democracy and national reconciliation,"" a government statement said.",[1 1 0 1 0],3,"""The releases are the latest in a series of efforts by the government to move Myanmar to multi-party democracy and national conciliation.""",[1 1 0 0 0],2,1,-1,3
569,Lakhani was charged with attempting to provide material support and resources to a terrorist group and acting as an arms broker without a license.,[0 1 0 0 0],1,"He was charged with attempting to provide material support and resources to terrorists, and dealing arms without a licence.",[0 0 0 0 0],0,1,1,1
574,Some are also used to send spam e-mail messages to boost traffic to the sites.,[1 1 0 0 0],2,Some of the computers also are used to send spam e-mail messages to drum up traffic to the sites.,[0 1 0 0 0],1,1,-1,0
575,"It also faces significant regulatory delays and uncertainty, and threatens serious damage to the company's business, he added.",[0 0 0 1 0],1,"""It is highly conditional, faces significant regulatory delays and uncertainty, and threatens serious damage to our business.""",[0 0 0 0 0],0,1,1,3
591,"But SCO has hit back, saying: ""We view IBM's counterclaim filing today as an effort to distract attention from its flawed Linux business model.",[1 1 0 0 0],2,"In a statement, an SCO spokeman said, ""We view IBM's counterclaim filing today as an effort to distract attention from its flawed Linux business model.",[0 1 0 0 0],1,1,1,0
599,"""If the voluntary reliability standards had been complied with, we wouldn't have had a problem,"" Mr. Dhaliwal said.",[0 0 0 1 0],1,"""If the voluntary reliability standards were complied with, we wouldn't have had a problem.""",[0 0 0 0 0],0,1,-1,3
602,"That would represent an increase of some 10 per cent from the year before, it added.",[0 0 0 1 0],1,If achieved it would represent an increase of 10 per cent from the same quarter a year ago.,[0 0 0 0 0],0,1,-1,3
603,"The company posted a net loss of $185 million, or 54 cents per share, in the year-earlier period, it said in a statement Wednesday.",[0 1 0 0 0],1,"In the second quarter last year, the company experienced a net loss of $185 million, or 54 cents a share, on sales of $600 million.",[0 0 0 0 0],0,1,-1,1
606,"""Further testing is still under way, but at this stage, given the early detection, the outlook in such instances would be positive,"" the specialist said yesterday.",[1 1 0 1 0],3,"A spokesman said: ""Further testing is under way but at this stage, given the early detection, the outlook is positive.""",[1 1 0 0 0],2,1,-1,3
611,"Dick is going to be there as long as Dick wants to be there,"" Reuters reports Langone as saying.",[0 1 0 1 0],2,"""Dick is going to be there as long as Dick wants to be there.""",[0 1 0 0 0],1,1,1,3
620,"The fire has so far charred 11,400 acres on Mount Lemmon just north of Tucson, and more than 250 homes have been destroyed.",[0 0 0 1 0],1,"The Aspen Fire had charred more than 12,400 acres by today on Mount Lemmon just north of Tucson, and more than 250 homes had been destroyed.",[0 0 0 0 0],0,1,-1,3
624,"After serving as a marine in World War II, he began submitting articles to magazines.",[0 0 0 1 0],1,He served as a marine in the Second World War and afterward began submitting articles to magazines.,[0 0 0 0 0],0,1,-1,3
631,"""It will be a compromise, like the real world requires,"" he said.",[0 0 0 1 0],1,"Mr. Bloomberg later told reporters that the agreement ""will be a compromise, like the real world requires.""",[0 0 0 0 0],0,1,-1,3
646,"At 12, Lionel Tate was charged with first-degree murder over the death of Tiffany Eunick.",[1 1 0 0 0],2,"Tate was 12 when he was charged with beating Tiffany Eunick, 6, to death in July 1999.",[0 1 0 0 0],1,1,1,0
648,"If the MTA's appeal to a higher court is successful, the $2 bus and subway base fare won't be rolled back.",[1 1 0 1 0],3,"If the MTA's appeal is successful, the $2 bus and subway base fare won't change.",[1 1 0 0 0],2,1,1,3
